method,n,p,m,alpha,gamma,sigma_sq,mean_mse,se_mse,mean_loading_error,se_loading_error,mean_false_positive_rate,se_false_positive_rate,mean_false_negative_rate,se_false_negative_rate,mean_factor_score_cor,se_factor_score_cor
EFA,500,50,3,0.8,2,0.1,0.10758784864835244,4.581768643271416e-4,0.40577993538446383,0.009635125017763747,0.4459090909090909,0.01265780266388363,0,0,0.3305602358037562,NA
EFA,500,50,3,0.8,2,1,0.9723272188212195,9.917397125659478e-4,1.2704118385611833,0.011116046018703226,0.567,0.004941691905753867,0,0,0.3255506451338644,NA
EFA,500,50,3,0.8,2,5,5.041126914435613,0.004821704890644754,3.0345279335610025,0.018239365565684916,0.6562727272727272,0.006886792832576323,0.0032500000000000003,9.166666666666666e-4,0.28100928050923907,NA
EFA,500,50,5,0.2,0,0.1,0.14321177640158098,5.09650178321757e-4,0.3381416868316462,0.004936367476222268,0.34425,0.006728923323304338,0.169,0.003450144729480737,0.13938647627504502,NA
EFA,500,50,5,0.2,0,1,0.9452594611605153,0.0010154522309275952,1.5366566847643075,0.017250258271780387,0.61675,0.006934078121418838,0.23676470588235293,0.003694282461287749,0.14483315120834078,NA
EFA,500,50,5,0.2,0,5,4.972878060821287,0.0045320475278638065,5.013561957307345,0.03749895888471528,0.634375,0.007131907868760284,0.29676470588235293,0.00477106886442848,0.21604627886700298,NA
EFA,500,50,5,0.2,1,0.1,0.18674935884952673,2.3708283559360291e-4,0.45600696611813046,0.005735326876998798,0.491375,0.007331213106032357,0.20194117647058824,0.0034705479518694995,0.09848563290779933,NA
EFA,500,50,5,0.2,1,1,0.9277906512534312,8.391052574187603e-4,1.5745008667464528,0.011948797933664887,0.59625,0.005098462335039672,0.15711764705882353,0.0034677672654629997,0.4610905248080965,NA
EFA,500,50,5,0.2,1,5,4.883266660688226,0.004979828958967742,4.137405515451317,0.02874261672408556,0.600375,0.006119741094246232,0.3412941176470588,0.004077111400273755,0.24859051164213472,NA
EFA,500,50,5,0.2,2,0.1,0.19431729657348595,2.2678701344292155e-4,0.7844157496258283,0.007612883898809607,0.506,0.0061890462051347565,0.17652941176470588,0.0027773695131802956,0.47333649292424596,NA
EFA,500,50,5,0.2,2,1,0.9218141828472473,9.631846212861748e-4,1.756700458402901,0.015486759413383774,0.613375,0.006586293446517272,0.22417647058823528,0.003862202156979951,0.37366574252546153,NA
EFA,500,50,5,0.2,2,5,4.845695122542836,0.004687441685508395,3.5261955580166164,0.021056326934168926,0.5975,0.005827919565732395,0.37688235294117645,0.003541527037443965,0.18872320858262892,NA
EFA,500,50,5,0.5,0,0.1,0.10731612694854618,4.1469657073514707e-4,0.318295805708721,0.002826462522490888,0.32935,0.00991470059451055,0.4682,0.03989693287115255,0.15399402762034164,NA
